Team,Unique_Counterparties,Total_PnL,Rank_CP,Rank_PnL,Average_Rank,Final_Rank
STLM,8,-514,85,92,88.5,86
WRJW,17,-24583,12,165,88.5,86
CAJF,6,1082,112,66,89,89
ALAS,16,-19053,15,163,89,89
CNAZ,9,-1373,70,109,89.5,91
WRFW,14,-10270,27,152,89.5,91
NYNJ,5,2495,133,50,91.5,93
IEFP,4,3320,140,44,92,94
GBSV,15,-19697,20,164,92,94
FRSJ,10,-3120,55,132,93.5,96
STNC,12,-9827,36,151,93.5,96
IVRS,6,370,112,76,94,98
LUMS,14,-18813,27,162,94.5,99
RUCP,11,-9010,42,149,95.5,100
BOWW,5,1494,133,59,96,101
COEE,6,104,112,81,96.5,102
UBDP,9,-2246,70,124,97,103
TRAM,6,-36,112,83,97.5,104
WRRS,11,-10510,42,153,97.5,104
CAAT,10,-5108,55,141,98,106
NAEC,6,-130,112,86,99,107
UOLP,2,2990,154,46,100,108
CHGA,4,1382,140,60,100,108
UBNZ,7,-971,98,102,100,108
BAOF,6,-430,112,90,101,111
FRVS,2,2514,154,49,101.5,112
REBB,10,-9600,55,150,102.5,113
LALC,11,-63610,42,166,104,114
UOEZ,6,-823,112,97,104.5,115
CITY,9,-4895,70,139,104.5,115
UEAM,10,-10558,55,154,104.5,115
BRLS,6,-830,112,98,105,118
IEMA,9,-4923,70,140,105,118
BBBB,7,-1514,98,113,105.5,120
ELBF,6,-920,112,100,106,121
HELI,3,1235,149,64,106.5,122
TRSR,6,-963,112,101,106.5,122
CHAK,10,-13651,55,159,107,124
COPI,7,-1670,98,117,107.5,125
BOAB,10,-14563,55,160,107.5,125
ELDH,6,-1064,112,105,108.5,127
LASD,1,1345,158,61,109.5,128
LAHM,8,-3326,85,136,110.5,129
OKDH,4,8,140,82,111,130
CHRP,6,-1380,112,110,111,130
LUGP,8,-4036,85,138,111.5,132
RUCC,3,388,149,75,112,133
HEVZ,1,957,158,67,112.5,134
UIHD,4,-121,140,85,112.5,134
CAGN,7,-2733,98,127,112.5,134
COTK,5,-554,133,93,113,137
UIAA,6,-1578,112,114,113,137
NAMB,9,-10858,70,156,113,137
STMR,3,317,149,78,113.5,140
UOAF,5,-575,133,94,113.5,140
WSPR,9,-13605,70,158,114,142
ZUKT,8,-5787,85,144,114.5,143
REBO,1,687,158,73,115.5,144
LARB,1,245,158,79,118.5,145
ZUIT,6,-2546,112,125,118.5,145
CADB,6,-2729,112,126,119,147
NABF,4,-834,140,99,119.5,148
CAGV,5,-1177,133,107,120,149
CNJW,8,-10850,85,155,120,149
RUSK,7,-6121,98,146,122,151
COTA,7,-6789,98,148,123,152
COET,6,-3306,112,135,123.5,153
CAJH,1,-755,158,96,127,154
IEMD,4,-1618,140,115,127.5,155
UOWL,4,-1786,140,119,129.5,156
HEJR,3,-1415,149,111,130,157
RENA,1,-1005,158,104,131,158
DUPM,1,-1203,158,108,133,159
HEMB,1,-1505,158,112,135,160
NACB,3,-1903,149,123,136,161
BRSY,1,-1655,158,116,137,162
COAZ,4,-3370,140,137,138.5,163
CIJY,2,-3110,154,131,142.5,164
WRDS,4,-6275,140,147,143.5,165
BAGY,2,-6070,154,145,149.5,166
